name,source,complexid,saftype,pri_add,modified,faci_dom,facility_t,b7_sc,placeid,bin,sos,segmentid,borough,created,latitude,longitude,nad83_x,nad83_y,borough_name,facility_t_name,is_test
WHITESTONE,DoITT,3378,N,0.0,2017-01-09,8,6,49731001,568,0,2,306303,4,2009-05-14,40.797182526598505,-73.82661642130311,314.63156673496417,70.03071493907618,Queens,Transportation Facility,False
BROOKLYN,DoITT,3960,N,0.0,2018-01-22,8,6,39734001,576,0,2,144842,3,2009-05-14,40.70384707235758,-73.99395441100663,300.5103050398702,59.651491691135895,Brooklyn,Transportation Facility,False
MANHATTAN,DoITT,0,N,0.0,2011-05-11,8,6,19795001,580,0,1,162664,1,2009-05-14,40.70960010711745,-73.9919414213091,300.6803646634817,60.290367223279134,Manhattan,Transportation Facility,False
RIKERS ISLAND,DoITT,0,N,0.0,2017-05-09,8,6,29823001,584,0,2,188216,2,2009-05-14,40.786728087346724,-73.88514373689752,309.69385888979645,68.86163299640882,Bronx,Transportation Facility,True
BORDEN AVENUE BRIDGE,DoITT,0,N,0.0,2017-05-09,8,6,43649002,590,0,2,189271,4,2009-05-14,40.73904190947023,-73.94269883592102,304.83937297614443,63.56137391582582,Queens,Transportation Facility,False
MANHATTAN,DoITT,3960,N,0.0,2018-01-22,8,6,39721001,605,0,2,155168,3,2009-05-14,40.704871707578455,-73.98924219391657,300.90852202273345,59.76531333529663,Brooklyn,Transportation Facility,False
WHITESTONE EXPRESSWAY,DoITT,0,N,0.0,2021-01-25,8,6,46629019,613,0,2,153035,4,2009-05-14,40.76570484358984,-73.83947161357135,313.55309927699443,66.53308867243967,Queens,Transportation Facility,False
ROBERT F KENNEDY,DoITT,0,N,0.0,2017-03-03,8,6,49730001,717,0,2,141122,4,2009-05-14,40.778348477576266,-73.9257029445795,306.27124022842213,67.92738993983356,Queens,Transportation Facility,True
HENRY HUDSON,DoITT,0,N,0.0,2012-11-05,8,6,29831001,724,0,1,143394,2,2009-05-14,40.878164018513914,-73.92157142849068,306.61008132114273,79.01218736285364,Bronx,Transportation Facility,True
THROGS NECK,DoITT,0,N,0.0,2017-05-09,8,6,29816001,728,0,1,141127,2,2009-05-14,40.80223345814473,-73.79372123642588,317.40632959402336,70.59763177743115,Bronx,Transportation Facility,True
QUEENS MIDTOWN,DoITT,0,N,0.0,2017-10-30,9,6,49713001,6850,0,2,195043,4,2009-05-14,40.74148434588156,-73.95401591516496,303.88332574419115,63.83203874422088,Queens,Transportation Facility,False
WILLIAMSBURG,DoITT,3218,N,0.0,2021-01-22,8,6,19776001,926,0,1,308236,1,2009-05-14,40.714701275978264,-73.97581238008704,302.0431609711913,60.85709203614756,Manhattan,Transportation Facility,False
RIKERS ISLAND,DoITT,0,N,0.0,2011-05-13,8,6,49735001,931,0,2,77104,4,2009-05-14,40.77673740399415,-73.89184632789696,309.129495309466,67.75145852597994,Queens,Transportation Facility,False
WASHINGTON,DoITT,0,N,0.0,2011-05-04,8,6,10020001,934,0,2,137516,1,2009-05-14,40.84700074947195,-73.9285220601287,306.0270413186083,75.55099170857268,Manhattan,Transportation Facility,False
KOSCIUSZKO,DoITT,0,N,0.0,2018-10-18,8,6,39736001,936,0,1,313027,3,2009-05-14,40.72726078863405,-73.92906431305518,305.9920816117694,62.25394514769983,Brooklyn,Transportation Facility,False
KOSCIUSZKO,DoITT,0,N,0.0,2019-09-04,8,6,49727001,937,0,1,312736,4,2009-05-14,40.728080756621544,-73.92873591428327,306.01975086151737,62.345023529648984,Queens,Transportation Facility,False
MACOMBS DAM,DCP,0,N,0.0,2017-09-25,8,6,19794001,9906,0,1,295150,1,2009-05-14,40.82803502688598,-73.93449272624562,305.5251171622591,73.4444555007862,Manhattan,Transportation Facility,False
HUGH L CAREY,DCP,0,N,0.0,2017-10-20,9,6,39700001,13053,0,1,154308,3,2009-05-14,40.68530779843458,-74.00777283741368,299.34232276958113,57.592760880109736,Brooklyn,Transportation Facility,False
UNIVERSITY HEIGHTS,EMS,0,N,0.0,2015-09-30,8,6,19762001,7408,0,2,288066,1,2009-05-14,40.86295889905344,-73.91530713818614,307.1397264822222,77.32414180212415,Manhattan,Transportation Facility,False
MACOMBS DAM,DoITT,0,N,0.0,2019-12-20,8,6,29826001,16710,0,2,120980,2,2009-05-14,40.828149409127086,-73.93304844725213,305.64693651334136,73.45724973338476,Bronx,Transportation Facility,False
WILLIAMSBURG,DoITT,0,N,0.0,2018-04-27,8,6,39730001,16715,0,2,154274,3,2009-05-14,40.712492205067484,-73.96852757728713,302.65878983000687,60.61197493124996,Brooklyn,Transportation Facility,False
THROGS NECK,DoITT,0,N,0.0,2017-01-09,8,6,49738001,16884,0,2,306328,4,2009-05-14,40.79857020268708,-73.79354615537696,317.4220626424939,70.19086575387479,Queens,Transportation Facility,True
BROOKLYN,DoITT,0,N,0.0,2015-04-07,8,6,19778001,617,0,1,9014211,1,2009-05-14,40.70804305317227,-73.99934233022464,300.0549667826652,60.11742864990783,Manhattan,Transportation Facility,False
ALEXANDER HAMILTON,DoITT,0,N,0.0,2016-05-27,8,6,29703001,17199,0,2,140058,2,2009-05-14,40.8454367058386,-73.92797348753933,306.0734446056501,75.37734238790877,Bronx,Transportation Facility,False
ROOSEVELT IS,DoITT,0,N,0.0,2019-12-20,8,6,19769001,927,0,2,165861,1,2009-05-14,40.763872690468794,-73.94662833424147,304.5057851626024,66.31858420962386,Manhattan,Transportation Facility,True
WASHINGTON,DoITT,0,N,0.0,2017-07-28,8,6,29820001,933,0,2,297504,2,2009-05-14,40.84649561797296,-73.92706544578265,306.1499225769334,75.49499804908581,Bronx,Transportation Facility,False
ALEXANDER HAMILTON,DoITT,0,N,0.0,2011-12-27,8,6,19700001,935,0,1,140063,1,2009-05-14,40.845657680171854,-73.92946799599785,305.9473917642731,75.40177905367999,Manhattan,Transportation Facility,False
EASTERN BLVD,EMS,0,N,0.0,2022-06-21,8,6,21592507,19237,0,1,342699,2,2009-05-14,40.82272085731952,-73.88427532341606,309.7618770800505,72.85870076171715,Bronx,Transportation Facility,False
VERRAZZANO,DoITT,0,N,0.0,2021-03-31,8,6,59718001,569,0,1,331058,5,2009-05-14,40.606654734939724,-74.04420378784582,296.25826806436436,48.859489763579596,Staten Island,Transportation Facility,False
MARINE PY-GIL HODGES MEMORIAL,DoITT,0,N,0.0,2017-05-09,8,6,49739001,570,0,1,134653,4,2009-05-14,40.57123147087077,-73.8835129582936,309.863327684374,44.93148096217465,Queens,Transportation Facility,False
JJ BYRNE MEMORIAL,DoITT,0,N,0.0,2021-01-21,8,6,44799002,578,0,1,65919,4,2009-05-14,40.73333958624239,-73.9401679409754,305.0535792618207,62.92828403964906,Queens,Transportation Facility,True
ED KOCH QUEENSBORO,DoITT,0,N,0.0,2011-10-12,8,6,19792001,583,0,1,138878,1,2009-05-14,40.758391053852,-73.95806128277657,303.54074463801464,65.7093308498251,Manhattan,Transportation Facility,False
HUNTERS POINT,DoITT,0,N,0.0,2017-05-09,8,6,41069003,593,0,2,65967,4,2009-05-14,40.74082294350693,-73.94045346824683,305.0288950390756,63.75928115968762,Queens,Transportation Facility,False
ED KOCH QUEENSBORO,DoITT,0,N,0.0,2011-05-13,8,6,49734001,606,0,2,138881,4,2009-05-14,40.755219712929794,-73.95072222706568,304.1606611233534,65.3574807097153,Queens,Transportation Facility,True
QUEENS MIDTOWN,DoITT,0,N,0.0,2017-10-23,9,6,19752001,16697,0,1,132784,1,2009-05-14,40.74579837599415,-73.97313755148846,302.26811579114093,64.31043311895304,Manhattan,Transportation Facility,True
CROSS BAY VETERANS MEMORIAL,DoITT,0,N,0.0,2017-03-03,8,6,49725001,16698,0,1,150387,4,2009-05-14,40.59311205997183,-73.82006819635855,315.23073200387586,47.370323145510774,Queens,Transportation Facility,True
HUGH L CAREY,DoITT,32,N,0.0,2017-09-27,9,6,19705001,16700,0,1,143081,1,2009-05-14,40.70211087611888,-74.01584220998345,298.6605253563887,59.45879445467443,Manhattan,Transportation Facility,False
ROOSEVELT IS,DoITT,0,N,0.0,2021-01-25,8,6,49736001,16705,0,2,37030,4,2009-05-14,40.76293630078328,-73.94475408042065,304.66410187545614,66.21469751221788,Queens,Transportation Facility,False
