name,latitude,longitude,state_id,state_name,county_fips,population,density,timezone,entity_type,entity_subtype,page_views,is_test
New York,40.6943,-73.9249,NY,New York,36081.0,18972871.0,10768.2,America/New_York,city,,,False
Los Angeles,34.1141,-118.4068,CA,California,6037.0,12121244.0,3267.6,America/Los_Angeles,city,,,False
Chicago,41.8375,-87.6866,IL,Illinois,17031.0,8595181.0,4576.6,America/Chicago,city,,,False
Miami,25.784,-80.2101,FL,Florida,12086.0,5711945.0,4945.7,America/New_York,city,,,True
Dallas,32.7935,-96.7667,TX,Texas,48113.0,5668165.0,1522.2,America/Chicago,city,,,False
Houston,29.786,-95.3885,TX,Texas,48201.0,5650910.0,1394.6,America/Chicago,city,,,False
Philadelphia,40.0077,-75.1339,PA,Pennsylvania,42101.0,5512873.0,4544.9,America/New_York,city,,,True
Atlanta,33.7628,-84.422,GA,Georgia,13121.0,5046555.0,1419.9,America/New_York,city,,,False
Washington,38.9047,-77.0163,DC,District of Columbia,11001.0,4810669.0,4434.0,America/New_York,city,,,False
Boston,42.3188,-71.0852,MA,Massachusetts,25025.0,4208580.0,5505.8,America/New_York,city,,,False
Phoenix,33.5722,-112.0892,AZ,Arizona,4013.0,4047095.0,1235.5,America/Phoenix,city,,,False
Detroit,42.3834,-83.1024,MI,Michigan,26163.0,3522856.0,1871.2,America/Detroit,city,,,False
Seattle,47.6211,-122.3244,WA,Washington,53033.0,3438221.0,3412.2,America/Los_Angeles,city,,,False
San Francisco,37.7558,-122.4449,CA,California,6075.0,3290197.0,7199.4,America/Los_Angeles,city,,,True
San Diego,32.8313,-117.1222,CA,California,6073.0,3084174.0,1675.9,America/Los_Angeles,city,,,False
Minneapolis,44.9635,-93.2678,MN,Minnesota,27053.0,2856952.0,3035.5,America/Chicago,city,,,True
Brooklyn,40.6501,-73.9496,NY,New York,36047.0,2736074.0,15200.5,America/New_York,city,,,False
Tampa,27.9945,-82.4447,FL,Florida,12057.0,2683956.0,1340.7,America/New_York,city,,,False
Denver,39.762,-104.8758,CO,Colorado,8031.0,2650725.0,1805.7,America/Denver,city,,,False
Queens,40.7498,-73.7976,NY,New York,36081.0,2405464.0,8503.7,America/New_York,city,,,False
Baltimore,39.3051,-76.6144,MD,Maryland,24510.0,2205092.0,2872.8,America/New_York,city,,,False
Las Vegas,36.2333,-115.2654,NV,Nevada,32003.0,2150373.0,1754.7,America/Los_Angeles,city,,,False
St. Louis,38.6359,-90.2451,MO,Missouri,29510.0,2092481.0,1905.7,America/Chicago,city,,,False
Portland,45.5371,-122.65,OR,Oregon,41051.0,2036875.0,1881.6,America/Los_Angeles,city,,,False
Riverside,33.9381,-117.3949,CA,California,6065.0,2022285.0,1557.0,America/Los_Angeles,city,,,True
Orlando,28.4773,-81.337,FL,Florida,12095.0,1927699.0,992.0,America/New_York,city,,,True
Sacramento,38.5677,-121.4685,CA,California,6067.0,1924167.0,1971.3,America/Los_Angeles,city,,,False
San Antonio,29.4632,-98.5238,TX,Texas,48029.0,1910785.0,1184.5,America/Chicago,city,,,False
San Jose,37.3012,-121.848,CA,California,6085.0,1729879.0,2229.0,America/Los_Angeles,city,,,False
Pittsburgh,40.4397,-79.9763,PA,Pennsylvania,42003.0,1720279.0,2100.7,America/New_York,city,,,False
Cincinnati,39.1413,-84.506,OH,Ohio,39061.0,1712287.0,1500.2,America/New_York,city,,,False
